student_id,college_id,subject_id,rank,score
1,8,1,1,497.9986657771848
1,3,1,2,497.9986657771848
1,9,3,3,392.5950633755837
1,17,4,4,376.58438959306204
1,18,4,5,376.58438959306204
1,11,3,6,392.5950633755837
1,2,4,7,376.58438959306204
1,4,3,8,392.5950633755837
1,12,3,9,392.5950633755837
1,1,3,10,392.5950633755837
2,10,2,1,351.23415610406937
2,7,1,2,385.59039359573046
2,8,1,3,385.59039359573046
2,15,4,4,283.1887925283522
2,18,4,5,283.1887925283522
2,13,3,6,183.12208138759172
2,1,3,7,183.12208138759172
2,5,3,8,183.12208138759172
2,14,3,9,183.12208138759172
3,4,3,1,420.9472981987992
3,9,3,2,420.9472981987992
3,12,3,3,420.9472981987992
3,18,4,4,198.46564376250834
3,13,3,5,420.9472981987992
4,17,4,1,211.4743162108072
4,1,3,2,239.49299533022014
4,7,1,3,187.12474983322215
4,18,4,4,211.4743162108072
4,3,1,5,187.12474983322215
4,10,2,6,144.09606404269513
4,2,4,7,211.4743162108072
4,12,3,8,239.49299533022014
5,19,4,1,181.1207471647765
5,17,4,2,181.1207471647765
5,11,3,3,311.20747164776515
5,12,3,4,311.20747164776515
5,15,4,5,181.1207471647765
5,4,3,6,311.20747164776515
5,6,4,7,181.1207471647765
6,8,1,1,194.12941961307538
6,9,3,2,160.1067378252168
6,11,3,3,160.1067378252168
6,14,3,4,160.1067378252168
6,13,3,5,160.1067378252168
6,15,4,6,359.23949299533024
7,16,1,1,7.004669779853235
7,18,4,2,125.41694462975316
7,3,1,3,7.004669779853235
7,17,4,4,125.41694462975316
7,11,3,5,7.671781187458305
7,7,1,6,7.004669779853235
7,19,4,7,125.41694462975316
8,8,1,1,440.9606404269513
8,16,1,2,440.9606404269513
8,1,3,3,116.41094062708473
8,19,4,4,340.56037358238825
8,12,3,5,116.41094062708473
8,3,1,6,440.9606404269513
8,9,3,7,116.41094062708473
8,2,4,8,340.56037358238825
8,13,3,9,116.41094062708473
8,14,3,10,116.41094062708473
9,18,4,1,283.52234823215474
9,4,3,2,356.57104736490993
9,15,4,3,283.52234823215474
9,5,3,4,356.57104736490993
9,13,3,5,356.57104736490993
9,1,3,6,356.57104736490993
9,9,3,7,356.57104736490993
9,17,4,8,283.52234823215474
9,11,3,9,356.57104736490993
10,3,1,1,440.29352901934624
10,17,4,2,471.6477651767845
10,20,3,3,236.49099399599734
10,13,3,4,236.49099399599734
10,10,2,5,245.49699799866576
10,4,3,6,236.49099399599734
